"Timestamp","What age do you think this person is (at the time of this picture)?","What age do you think this person is (at the time of this picture)?","What age do you think this person is (at the time of this picture)?","What age do you think this person is (at the time of this picture)?","What age do you think this person is (at the time of this picture)?","What's your age?"
"2019/01/15 5:32:18 PM MST","75","9","26","50","27","25"
"2019/01/15 5:32:44 PM MST","62","24","33","51","28","35"
"2019/01/15 5:33:09 PM MST","60","16","32","38","32","26"
"2019/01/15 5:33:48 PM MST","53","8","36","48","24","31"
"2019/01/15 5:35:03 PM MST","57","15","33","43","23","26"
"2019/01/15 5:35:05 PM MST","50","12","40","40","25","26"
"2019/01/15 5:36:30 PM MST","52","13","32","45","35","28"
"2019/01/15 5:37:23 PM MST","68","18","29","42","26","38"
"2019/01/15 5:57:30 PM MST","45","18","27","39","29","25"
"2019/01/15 5:58:54 PM MST","58","18","35","50","35","39"
"2019/01/15 6:02:14 PM MST","65","12","35","48","30","27"
"2019/01/15 6:10:27 PM MST","57","10","31","51","33","182"
"2019/01/15 6:10:42 PM MST","50","18","23","45","29","30"
"2019/01/15 6:11:41 PM MST","65","12","24","45","27","25"
"2019/01/15 6:17:28 PM MST","63","19","43","46","37","34"
"2019/01/15 6:23:26 PM MST","78","30","37","50","26","39"
"2019/01/15 6:42:43 PM MST","62","10","29","53","27","24"
"2019/01/15 6:48:03 PM MST","70","18","40","55","30","29"
"2019/01/15 6:56:06 PM MST","60","18","28","50","28","40"
"2019/01/15 7:17:25 PM MST","65","18","33","43","36","24"
"2019/01/15 7:31:19 PM MST","67","14","36","44","32","35"
"2019/01/15 8:09:44 PM MST","55","15","30","40","26","28"
"2019/01/15 8:21:23 PM MST","65","23","27","34","34","53"
"2019/01/15 8:21:47 PM MST","69","19","32","47","30","27"
"2019/01/15 8:34:20 PM MST","70","12","40","40","28","30"
"2019/01/15 10:04:04 PM MST","60","10","25","50","30","32"
"2019/01/16 1:10:17 AM MST","62","12","32","47","28","30"
"2019/01/16 3:22:35 AM MST","63","12","34","44","40","26"
"2019/01/16 9:25:13 AM MST","62","16","29","41","27","24"
"2019/01/16 9:50:16 AM MST","62","10","34","40","25","23"